台北市中正區螢雪里詔安街29號
台北市中正區中華路2段465號
台北市中正區黎明里公園路29號
台北市中正區愛國西路一號
台北市中正區幸福里濟南路1段71號
台北市中正區龍光里南海路58號
台北市中正區新營里愛國東路158號
台北市中正區東門里濟南路1段6號
台北市中正區林興里汀州街3段4號
台北市中正區梅花里忠孝東路2段101號
台北市中正區龍光里南海路56號
台北市中正區中華路2段307巷17號
台北市中正區公園路21號
台北市中正區東門里仁愛路1段2號之4
台北市中正區濟南路一段三二一號
台北市中正區汀州路二段143號
台北市中正區板溪里汀州路二段143號
台北市中正區汀州路二段180號
台北市中正區南門里廣州街6號
台北市中正區黎明里重慶南路1段165號
台北市中正區南門里廣州街6號
台北市大同區國昌里民權西路225巷24號
台北市大同區民權里錦西街51號
台北市大同區至聖里大龍街187巷1號
台北市大同區承德路二段235號
台北市大同區國慶里昌吉街97號
台北市大同區保安里承德路3段336號
台北市大同區南芳里延平北路2段266號
台北市大同區重慶北路三段1號
台北市大同區雙連里寧夏路59號
台北市大同區保安里哈密街47號
台北市大同區星明里太原路151號
台北市大同區南芳里延平北路2段239號
台北市大同區保安里承德路3段285號
台北市大同區雙連里寧夏路59號
台北市大同區玉泉里西寧北路32號
台北市大同區蓬萊里大龍街51號
台北市大同區星明里寧夏路35號
台北市大同區重慶里敦煌路19號
台北市大同區隆和里重慶北路3段2號
